Detector geometry infos
Layer / Ladder / Module / Mid_Strip / Mid_Segment / Xrange / Yrange / Zrange / Xmid / Ymid / Zmid
5 / 3 / 50 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / 74.249
5 / 3 / 51 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / 75.5308
5 / 3 / 52 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / 81.0693
5 / 3 / 53 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / 82.0859
5 / 3 / 54 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / 87.7184
5 / 3 / 55 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / 88.4765
5 / 3 / 56 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / 94.2006
5 / 3 / 57 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / 94.7067
5 / 3 / 58 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / 100.52
5 / 3 / 59 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / 100.78
5 / 3 / 60 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / 106.681
5 / 3 / 61 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / 106.702
5 / 3 / 62 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / 112.687
5 / 4 / 0 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 9.11353 / 22.002 / -112.687
5 / 4 / 1 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 8.88224 / 21.4436 / -106.702
5 / 4 / 2 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 9.11353 / 22.002 / -106.681
5 / 4 / 3 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 8.88224 / 21.4436 / -100.781
5 / 4 / 4 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 9.11353 / 22.002 / -100.521
5 / 4 / 5 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 8.88224 / 21.4436 / -94.7074
5 / 4 / 6 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 9.11353 / 22.002 / -94.2014
5 / 4 / 7 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 8.88224 / 21.4436 / -88.4775
5 / 4 / 8 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 9.11353 / 22.002 / -87.7196
5 / 4 / 9 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 8.88224 / 21.4436 / -82.0872
5 / 4 / 10 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 9.11353 / 22.002 / -81.0707
5 / 4 / 11 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 8.88224 / 21.4436 / -75.5323
5 / 4 / 12 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 9.11353 / 22.002 / -74.2507
5 / 4 / 13 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 8.88224 / 21.4436 / -68.8087
5 / 4 / 14 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48143 / 9.11353 / 22.002 / -67.2551
5 / 4 / 15 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48144 / 8.88224 / 21.4436 / -61.9119
5 / 4 / 16 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48144 / 9.11353 / 22.002 / -60.0793
5 / 4 / 17 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48144 / 8.88224 / 21.4436 / -54.8375
5 / 4 / 18 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48144 / 9.11353 / 22.002 / -52.7187
5 / 4 / 19 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48144 / 8.88224 / 21.4436 / -47.581
5 / 4 / 20 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48144 / 9.11353 / 22.002 / -45.1686
5 / 4 / 21 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48144 / 8.88224 / 21.4436 / -40.1376
5 / 4 / 22 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48144 / 9.11353 / 22.002 / -37.4241
5 / 4 / 23 / 479.5 / 15.5 / -8.86001 / 3.66993 / 4.48144 / 8.88224 / 21.4436 / -32.5025
